Name,Desc,PlantType,BloomsIn,Height,SoilNeeds,SunNeeds,WaterNeeds,Maintenance,Type de Sol
Weigela (Weigela),"Weigela est un genre d’environ 10 espèces d’arbustes caducs de la famille des Caprifoliacées, originaires d’Asie de l’Est. Les fleurs tubulaires ou en trompette, roses, rouges ou blanches, apparaissent abondamment au printemps et parfois en remontée estivale. Les weigelas sont appréciés pour leur floraison généreuse et leur facilité d’entretien.",Shrubs,"Spring, Autumn, Summer",This plant grows from 30 cm (1 ft) to 3 metres (10 ft) high.,"Weigela prefers fertile and moist, but well-drained soil. It can tolerate soil pH levels between 5.5 and 7.5.","Full sun, Partial sun",avarage,low,Limon
Wisteria (Wisteria),"Wisteria est un genre de plantes grimpantes ligneuses à feuilles caduques de la famille des Fabacées, comprenant environ 10 espèces originaires d’Asie de l’Est et des États-Unis. Les glycines sont réputées pour leurs longues grappes de fleurs pendantes (blanches, roses, bleues ou violettes), très ornementales, mais demandent un entretien régulier.",Climbers,"Spring, Summer","Wisteria grows from 180 cm to 12 metres (6 to 40 ft) tall, depending on species.","Wisteria likes moist, well-drained and fertile soil. It grows best in slightly acidic to neutral soil.","Full sun, Partial sun",avarage,hard,Limon
Zantedeschia (Calla Lily; Arum Lily),"Zantedeschia est un genre de la famille des Aracées, originaire d’Afrique australe, qui comprend 8 espèces et de nombreux cultivars. On distingue deux groupes : les Arum Lilies à grandes fleurs blanches et les Calla Lilies colorées à feuilles souvent tachetées. Elles poussent en pleine terre, en pot ou même en zone humide, et sont très appréciées en fleuristerie.","Bulbs, Perennials","Spring, Summer",The plant grows between 30 and 90 cm (1 to 3 ft) tall.,Zantedeschia grows best in moist and well-drained soil. The ideal soil pH is between 6.0 and 6.5.,"Full sun, Partial sun",avarage,low,Limon
Zephyranthes (Rain Lily; Fairy Lily),"Zephyranthes est un genre d’environ 90 espèces de la famille des Amaryllidacées, originaire du sud-est des États-Unis, d’Amérique centrale et d’Amérique du Sud. Ces plantes bulbeuses à feuilles linéaires produisent des fleurs solitaires en forme d’entonnoir, dans des tons de blanc, jaune ou rose, souvent après la pluie, d’où leur nom commun « Rain lily ».","Annuals, Bulbs, Perennials","Spring, Autumn, Summer",The plant can grow up to 30 cm (1 ft) in height.,Zephyranthes prefers well-drained soil with a good application of organic material.,"Full sun, Partial sun",avarage,medium,Limon
Zinnia (Zinnia),"Zinnia est un genre d’une vingtaine d’espèces annuelles et vivaces de la famille des Astéracées, majoritairement originaires d’Amérique du Nord (surtout du Mexique). Les fleurs sont en capitules solitaires et se déclinent dans presque toutes les couleurs. Robustes, très florifères, elles sont idéales pour attirer papillons et oiseaux au jardin.","Annuals, Perennials, Shrubs","Autumn, Summer",Zinnias range in size from dwarf species that only grow 17 cm (7 inches) high to vigorous types over 120 cm (4 ft) tall.,"Zinnias prefer fertile and moist, but well-drained soil, with a pH level between 5.5 and 7.5.",Full sun,avarage,low,Limon
Zygopetalum (Zygo),"Zygopetalum est un genre d’environ 15 espèces d’orchidées de la famille des Orchidacées, originaires d’Amérique du Sud. Ces plantes, terrestres ou épiphytes, portent des fleurs cireuses aux sépales et pétales verts ou bruns marbrés, et un labelle souvent violet ou pourpre. Elles dégagent un parfum agréable et se cultivent bien en intérieur.","Annuals, Perennials","Spring, Autumn, Winter",Zygopetalum usually grows to a height of 40 cm (16 inches).,"The plant prefers moist and well-drained soil, with a pH level between 5.5 and 6.5.","Full sun, Partial sun",avarage,medium,Limon
Calla (Zantedeschia),"Le Calla, aussi appelé Arum, est une plante élégante appréciée pour ses fleurs en forme de coupe. Il prospère en plein soleil ou à mi-ombre et préfère un sol riche et bien drainé. Son arrosage doit être régulier mais modéré, en maintenant le sol légèrement humide sans excès. Son entretien est simple : retirer les fleurs fanées pour prolonger la floraison et protéger les bulbes du gel en hiver si cultivé en extérieur dans une région froide.","Bulbs, Perennials","Spring,Summer","30 cm, 120 cm",pH between 5.5 to 6.5,"Full sun, Partial sun",Average,Low,Limon
Aralia du Japon (Fatsia japonica),"L'Aralia du Japon est une plante d'ombre ou de mi-ombre, qui apprécie un sol frais et bien drainé, nécessitant un arrosage régulier. Elle est facile d'entretien et résistante, ce qui en fait une plante à faible maintenance.",Shrubs,Autumn,"50 cm, 250 cm",pH between 5.5 to 6.5,"Partial sun, Shade",High,Low,Limon
Hortensia blanche (Hydrangea macrophylla),"L'Hortensia préfère la mi-ombre ou l'ombre et nécessite un arrosage fréquent, surtout en période de chaleur. Il demande une taille régulière pour favoriser la floraison et l'entretien du buisson.",Shrubs,Summer,"100 cm, 300 cm",pH between 5.5 to 6.5,"Partial sun, Shade",High,Medium,Limon
Verveine rouge (Verbena hybrida Superbena Royale Red),"La Verveine rouge est une plante vivace ou annuelle qui prospère sous une exposition en plein soleil et dans un sol bien drainé. Elle nécessite un arrosage modéré, en laissant le sol sécher légèrement entre deux arrosages. Son entretien est simple : il suffit de retirer les fleurs fanées pour encourager une floraison continue et d'effectuer une légère taille si nécessaire. Résistante à la chaleur et attirant les pollinisateurs, elle est idéale pour les massifs et les jardinières.","Annuals, Perennials","Spring,Summer,Autumn","20 cm, 100 cm",pH between 5.5 to 6.5,Full sun,Average,Low,Limon
Verveine blanche (Verbena hastata 'Alba),"La Verveine hastata 'Alba' est une plante vivace qui aime le plein soleil ou la mi-ombre. Elle préfère un sol bien drainé et un arrosage modéré. Son entretien est minimal, avec simplement une taille des fleurs fanées pour prolonger la floraison.",Perennials,"Summer,Autumn","20 cm, 100 cm",pH between 5.5 to 6.5,"Full sun, Partial sun",Average,Low,Limon
Verveine violette (Verbena speciosa),"La Verveine speciosa est une plante vivace qui prospère en plein soleil ou en mi-ombre. Elle préfère un sol bien drainé et un arrosage modéré. Peu exigeante, elle nécessite peu d’entretien, si ce n’est une taille légère pour encourager une floraison abondante.","Annuals, Perennials","Spring,Summer,Autumn","20 cm, 100 cm",pH between 5.5 to 6.5,"Full sun, Partial sun",Average,Low,Limon
Coleus rouge (Coleus verschaffeltii),"Le Coleus rouge est une plante appréciée pour son feuillage décoratif. Il préfère la mi-ombre ou l’ombre, car une exposition trop ensoleillée peut brûler ses feuilles. Il nécessite un sol humide mais bien drainé et un arrosage régulier. L’entretien consiste principalement à pincer les tiges pour favoriser la ramification et à retirer les fleurs pour prolonger la beauté du feuillage.","Annuals, Perennials","Summer,Autumn","30 cm, 150 cm",pH between 5.5 to 6.5,"Partial sun, Shade",Average,Medium,Limon
Coleus,"Le Coleus est une plante ornementale principalement cultivée pour son feuillage coloré. Il préfère la mi-ombre ou l'ombre, car un soleil direct peut ternir ses couleurs et brûler ses feuilles. Il nécessite un sol bien drainé et un arrosage modéré pour rester en bonne santé. Un entretien régulier, comme le pincement des tiges pour favoriser la ramification et l’élimination des fleurs, permet de prolonger la beauté du feuillage.","Annuals, Perennials","Summer,Autumn","30 cm, 150 cm",pH between 5.5 to 6.5,"Partial sun, Shade",Average,Medium,Limon
Canna tuerckheimii,"Le Canna tuerckheimii est une plante tropicale spectaculaire qui préfère une exposition en plein soleil ou en mi-ombre. Il a besoin d'un sol riche et humide, nécessitant un arrosage fréquent, surtout en période de chaleur. L’entretien comprend l’élimination des fleurs fanées et, dans les climats froids, la protection des rhizomes en hiver pour assurer une bonne repousse au printemps.","Bulbs, Perennials","Summer,Autumn","50 cm, 250 cm",pH between 5.5 to 6.5,"Full sun, Partial sun",High,Medium,Limon
Cana,"Le Canna est une plante à floraison tropicale qui prospère en plein soleil et préfère un sol riche et bien drainé. Il nécessite un arrosage régulier, surtout en période de croissance et de floraison. Son entretien comprend l’élimination des fleurs fanées pour prolonger la floraison et une fertilisation régulière. Dans les régions aux hivers froids, les rhizomes doivent être protégés ou déterrés avant le gel pour être replantés au printemps.","Bulbs, Perennials","Summer,Autumn","50 cm, 250 cm",pH between 5.5 to 6.5,Full sun,Average,Medium,Limon
Hibiscus Jaune de Chine (Hibiscus rosa-sinensis),"L’Hibiscus Jaune de Chine est un arbuste tropical apprécié pour ses grandes fleurs éclatantes. Il prospère sous une exposition en plein soleil ou à mi-ombre et préfère un sol riche et bien drainé. Il nécessite un arrosage modéré, en maintenant le sol légèrement humide sans excès d’eau. Son entretien est simple : il suffit de supprimer les fleurs fanées, de tailler légèrement après la floraison pour encourager la ramification et d’apporter une fertilisation régulière en période de croissance. Sensible au gel, il doit être protégé en hiver dans les régions froides.",Shrubs,"Spring,Summer,Autumn","100 cm, 500 cm",pH between 5.5 to 6.5,"Full sun, Partial sun",Average,Low,Limon
Hibiscus Rose de Chine (Hibiscus rosa-sinensis),"L’Hibiscus Rose de Chine est un arbuste tropical ornemental connu pour ses grandes fleurs colorées. Il prospère sous une exposition en plein soleil ou à mi-ombre et préfère un sol riche et bien drainé. Son arrosage doit être régulier, en maintenant le sol légèrement humide, mais sans excès d’eau. Son entretien est simple : il nécessite une taille légère après la floraison pour encourager la ramification et une fertilisation régulière en période de croissance. Sensible au gel, il doit être protégé en hiver ou cultivé en pot dans les régions froides.",Shrubs,"Spring,Summer,Autumn","100 cm, 500 cm",pH between 5.5 to 6.5,"Full sun, Partial sun",Average,Low,Limon
Hibiscus blanc de Chine (Hibiscus syriacus Totus Albus),"L’Hibiscus syriacus 'Totus Albus', aussi appelé Althéa blanc, est un arbuste caduc qui prospère en plein soleil ou à mi-ombre. Il préfère un sol bien drainé et nécessite un arrosage modéré, avec un peu plus d’eau en période de forte chaleur. Son entretien est simple : une taille légère en fin d’hiver favorise une floraison abondante, et une fertilisation occasionnelle aide à renforcer sa croissance. Plus résistant au froid que l’Hibiscus rosa-sinensis, il peut être planté en extérieur dans des climats tempérés.",Shrubs,"Summer,Autumn","100 cm, 500 cm",pH between 5.5 to 6.5,"Full sun, Partial sun",Average,Low,Limon
Rosier de Chine (Rosa chinensis),"Le Rosier de Chine est un arbuste à floraison généreuse qui apprécie une exposition en plein soleil ou en mi-ombre. Il nécessite un sol bien drainé et un arrosage régulier, surtout en période de sécheresse. Son entretien comprend la taille des branches mortes ou mal placées pour favoriser la floraison et une surveillance contre les maladies courantes des rosiers (oïdium, taches noires, pucerons).",Shrubs,"Spring,Summer,Autumn","50 cm, 250 cm",pH between 5.5 to 6.0,"Full sun, Partial sun",Average,Medium,Limon
Rosier rose (Rosa),"Le Rosier rose est un arbuste ornemental apprécié pour sa floraison généreuse et parfumée. Il prospère en plein soleil ou à mi-ombre et préfère un sol riche et bien drainé. Son arrosage doit être régulier mais modéré, en évitant de mouiller le feuillage pour prévenir les maladies fongiques. Son entretien comprend une taille annuelle en fin d'hiver pour stimuler la floraison, ainsi qu’une fertilisation régulière. Une surveillance contre les maladies et parasites (oïdium, taches noires, pucerons) est nécessaire pour assurer une bonne santé à la plante.",Shrubs,"Spring,Summer,Autumn","50 cm, 300 cm",pH between 5.5 to 6.0,"Full sun, Partial sun",Average,Medium,Limon
Laurier (Laurus nobilis),"Le Laurier noble, aussi appelé Laurier-sauce, est un arbuste aromatique apprécié pour son feuillage persistant et ses feuilles utilisées en cuisine. Il pousse bien en plein soleil ou à mi-ombre et préfère un sol bien drainé. Son arrosage doit être modéré, en évitant les excès d’eau. Son entretien est facile : une taille occasionnelle permet de maintenir sa forme, et il peut être cultivé en pot ou en pleine terre. Résistant aux maladies et à la sécheresse une fois bien établi, il supporte également les tailles sévères pour en faire une haie.","Shrubs, Trees",Spring,"2 m, 10 m",pH between 5.5 to 6.5,"Full sun, Partial sun",Average,Low,Limon
